"N92 Menstruação excessiva, freqüente e irregular",,–,–,–,–,–,–,–,–,–,–,–,–
N93 Outros sangramentos anormais do útero e da vagina,,–,–,–,–,–,–,–,–,–,–,–,–
N94 Dor e outras afecções associadas com os órgãos genitais fem,,–,–,–,–,–,–,–,–,–,–,–,–
N95 Transtornos da menopausa e da perimenopausa,,–,–,–,–,–,–,–,–,–,–,–,–
N96 Abortamento habitual,,–,–,–,–,–,–,–,–,–,–,–,–
N97 Infertilidade feminina,,–,–,–,–,–,–,–,–,–,–,–,–
N98 Complicações associadas à fecundação artificial,,–,–,–,–,–,–,–,–,–,–,–,–
N99 Outros transtornos do aparelho geniturinário,,–,–,–,–,–,–,–,–,–,–,–,–
N99 Transtornos do trato geniturinário pós-procedimentos não class,,–,–,–,–,–,–,–,–,–,–,–,–
"Capítulo XV: Gravidez, parto e puerpério (O00-O99)",,4,4,2,8,1,7,2,1,18,6,6,4
O00-O08 Gravidez que termina em aborto,,–,1,1,1,–,1,–,–,1,1,–,–
O00 Gravidez ectópica,,–,1,–,–,–,1,–,–,–,1,–,–
O01 Mola hidatiforme,,–,–,–,–,–,–,–,–,–,–,–,–
O02 Outros produtos anormais da concepção,,–,–,–,–,–,–,–,–,–,–,–,–
O03 Aborto espontâneo,,–,–,–,–,–,–,–,–,1,–,–,–
O04 Aborto por razões médicas e legais,,–,–,1,–,–,–,–,–,–,–,–,–
O05 Outros tipos de aborto,,–,–,–,–,–,–,–,–,–,–,–,–
O06 Aborto não especificado,,–,–,–,1,–,–,–,–,–,–,–,–
O07 Falha de tentativa de aborto,,–,–,–,–,–,–,–,–,–,–,–,–
O08 Complicações conseqüentes a aborto e gravidez ectópica ou m,,–,–,–,–,–,–,–,–,–,–,–,–
"O10-O16 Edema, proteinúria e transtornos hipertensivos na gravide",,–,–,–,–,–,–,–,–,2,–,–,–
"O10 Hipertensão pré-existente complicando a gravidez, o parto e o",,–,–,–,–,–,–,–,–,–,–,–,–
O11 Distúrbio hipertensivo pré-existente com proteinúria superposta,,–,–,–,–,–,–,–,–,–,–,–,–
"O12 Edema e proteinúria gestacionais [induzidos pela gravidez], se",,–,–,–,–,–,–,–,–,–,–,–,–
O13 Hipertensão gestacional [induzida pela gravidez] sem proteinú,,–,–,–,–,–,–,–,–,–,–,–,–
O14 Hipertensão gestacional [induzida pela gravidez] com proteinú,,–,–,–,–,–,–,–,–,2,–,–,–
O15 Eclâmpsia,,–,–,–,–,–,–,–,–,–,–,–,–
O16 Hipertensão materna não especificada,,–,–,–,–,–,–,–,–,–,–,–,–
O20-O29 Outros transtornos maternos relacionados predominantem,,3,2,1,7,1,6,2,1,11,4,6,3
O20 Hemorragia do início da gravidez,,2,2,1,7,1,6,1,1,10,3,6,3
O21 Vômitos excessivos na gravidez,,–,–,–,–,–,–,–,–,–,–,–,–
O22 Complicações venosas na gravidez,,–,–,–,–,–,–,–,–,–,–,–,–
O23 Infecções do trato geniturinário na gravidez,,1,–,–,–,–,–,1,–,1,–,–,–
O24 Diabetes mellitus na gravidez,,–,–,–,–,–,–,–,–,–,–,–,–
O25 Desnutrição na gravidez,,–,–,–,–,–,–,–,–,–,–,–,–
O26 Assistência materna por outras complicações ligadas predomin,,–,–,–,–,–,–,–,–,–,1,–,–
"O28 Achados anormais do rastreamento [""screening""] antenatal da",,–,–,–,–,–,–,–,–,–,–,–,–
O29 Complicações de anestesia administrada durante a gravidez,,–,–,–,–,–,–,–,–,–,–,–,–
O30-O48 Assistência prestada à mãe por motivos ligados ao feto e à,,–,1,–,–,–,–,–,–,1,–,–,–
O30 Gestação múltipla,,–,–,–,–,–,–,–,–,–,–,–,–
O31 Complicações específicas de gestação múltipla,,–,–,–,–,–,–,–,–,–,–,–,–
O32 Assistência prestada à mãe por motivo de apresentação anorm,,–,–,–,–,–,–,–,–,–,–,–,–
O33 Assistência prestada à mãe por uma desproporção conhecida,,–,–,–,–,–,–,–,–,–,–,–,–
"O34 Assistência prestada à mãe por anormalidade, conhecida ou s",,–,–,–,–,–,–,–,–,–,–,–,–
"O35 Assistência prestada à mãe por anormalidade e lesão fetais, co",,–,–,–,–,–,–,–,–,–,–,–,–
O36 Assistência prestada à mãe por outros problemas fetais conhe,,–,–,–,–,–,–,–,–,–,–,–,–
O40 Polihidrâmnio,,–,–,–,–,–,–,–,–,–,–,–,–
O41 Outros transtornos das membranas e do líquido amniótico,,–,–,–,–,–,–,–,–,–,–,–,–
O42 Ruptura prematura de membranas,,–,–,–,–,–,–,–,–,–,–,–,–
O43 Transtornos da placenta,,–,–,–,–,–,–,–,–,–,–,–,–
O44 Placenta prévia,,–,–,–,–,–,–,–,–,–,–,–,–
O45 Descolamento prematuro da placenta [abruptio placentae],,–,1,–,–,–,–,–,–,1,–,–,–
O46 Hemorragia anteparto não classificada em outra parte,,–,–,–,–,–,–,–,–,–,–,–,–
O47 Falso trabalho de parto,,–,–,–,–,–,–,–,–,–,–,–,–
O48 Gravidez prolongada,,–,–,–,–,–,–,–,–,–,–,–,–
O60-O75 Complicações do trabalho de parto e do parto,,1,–,–,–,–,–,–,–,3,1,–,1
O60 Parto pré-termo,,1,–,–,–,–,–,–,–,3,1,–,1
O61 Falha na indução do trabalho de parto,,–,–,–,–,–,–,–,–,–,–,–,–
O62 Anormalidades da contração uterina,,–,–,–,–,–,–,–,–,–,–,–,–
O63 Trabalho de parto prolongado,,–,–,–,–,–,–,–,–,–,–,–,–
O64 Obstrução do trabalho de parto devida à má-posição ou má-ap,,–,–,–,–,–,–,–,–,–,–,–,–
O65 Obstrução do trabalho de parto devida a anormalidade pélvica,,–,–,–,–,–,–,–,–,–,–,–,–
O66 Outras formas de obstrução do trabalho de parto,,–,–,–,–,–,–,–,–,–,–,–,–
O67 Trabalho de parto e parto complicados por hemorragia intrapar,,–,–,–,–,–,–,–,–,–,–,–,–
O68 Trabalho de parto e parto complicados por sofrimento fetal,,–,–,–,–,–,–,–,–,–,–,–,–
O69 Trabalho de parto e parto complicados por anormalidade do co,,–,–,–,–,–,–,–,–,–,–,–,–
O70 Laceração do períneo durante o parto,,–,–,–,–,–,–,–,–,–,–,–,–
O71 Outros traumatismos obstétricos,,–,–,–,–,–,–,–,–,–,–,–,–
O72 Hemorragia pós-parto,,–,–,–,–,–,–,–,–,–,–,–,–
"O73 Retenção da placenta e das membranas, sem hemorragias",,–,–,–,–,–,–,–,–,–,–,–,–
O74 Complicações de anestesia durante o trabalho de parto e o pa,,–,–,–,–,–,–,–,–,–,–,–,–
O75 Outras complicações do trabalho de parto e do parto não class,,–,–,–,–,–,–,–,–,–,–,–,–
O80-O84 Parto,,–,–,–,–,–,–,–,–,–,–,–,–
O80 Parto único espontâneo,,–,–,–,–,–,–,–,–,–,–,–,–
O81 Parto único por fórceps ou vácuo-extrator,,–,–,–,–,–,–,–,–,–,–,–,–
O82 Parto único por cesariana,,–,–,–,–,–,–,–,–,–,–,–,–
O83 Outros tipos de parto único assistido,,–,–,–,–,–,–,–,–,–,–,–,–
O84 Parto múltiplo,,–,–,–,–,–,–,–,–,–,–,–,–
O85-O92 Complicações relacionadas predominantemente com o pu,,–,–,–,–,–,–,–,–,–,–,–,–
O85 Infecção puerperal,,–,–,–,–,–,–,–,–,–,–,–,–
O86 Outras infecções puerperais,,–,–,–,–,–,–,–,–,–,–,–,–
O87 Complicações venosas no puerpério,,–,–,–,–,–,–,–,–,–,–,–,–
O88 Embolia de origem obstétrica,,–,–,–,–,–,–,–,–,–,–,–,–
O89 Complicações da anestesia administrada durante o puerpério,,–,–,–,–,–,–,–,–,–,–,–,–
O90 Complicações do puerpério não classificadas em outra parte,,–,–,–,–,–,–,–,–,–,–,–,–
O91 Infecções mamárias associadas ao parto,,–,–,–,–,–,–,–,–,–,–,–,–
O92 Outras afecções da mama e da lactação associadas ao parto,,–,–,–,–,–,–,–,–,–,–,–,–
O95-O99 Outras afecções obstétricas não classificadas em outra pa,,–,–,–,–,–,–,–,–,–,–,–,–
O95 Morte obstétrica de causa não especificada,,–,–,–,–,–,–,–,–,–,–,–,–
"O96 Morte, por qualquer causa obstétrica, que ocorre mais de 42 d",,–,–,–,–,–,–,–,–,–,–,–,–
O97 Morte por seqüelas de causas obstétricas diretas,,–,–,–,–,–,–,–,–,–,–,–,–
O98 Doenças infecciosas e parasitárias maternas classificáveis em,,–,–,–,–,–,–,–,–,–,–,–,–
"O99 Outras doenças da mãe, classificadas em outra parte, mas que",,–,–,–,–,–,–,–,–,–,–,–,–
Capítulo XVI: Algumas afecções originadas no período perinatal (P0,,–,–,–,–,–,–,–,–,–,–,–,–
P00-P04 Feto e recém-nascido afetados por fatores maternos e por,,–,–,–,–,–,–,–,–,–,–,–,–
"P00 Feto e recém-nascido afetados por afecções maternas, não ob",,–,–,–,–,–,–,–,–,–,–,–,–
P01 Feto e recém-nascido afetados por complicações maternas da,,–,–,–,–,–,–,–,–,–,–,–,–
P02,"Feto e recém-nascido afetados por complicações da placenta,",–,–,–,–,–,–,–,–,–,–,–,–
P03,Feto e recém-nascido afetados por outras complicações do tra,–,–,–,–,–,–,–,–,–,–,–,–
P04,Feto e recém-nascido afetados por influências nocivas transmi,–,–,–,–,–,–,–,–,–,–,–,–
P05-P08,Transtornos relacionados com a duração da gestação e co,–,–,–,–,–,–,–,–,–,–,–,–
P05,Crescimento fetal retardado e desnutrição fetal,–,–,–,–,–,–,–,–,–,–,–,–
P07,Transtornos relacionados com a gestação de curta duração e p,–,–,–,–,–,–,–,–,–,–,–,–
P08,Transtornos relacionados com a gestação prolongada e peso e,–,–,–,–,–,–,–,–,–,–,–,–
P10-P15,Traumatismo de parto,–,–,–,–,–,–,–,–,–,–,–,–
P10,Laceração intracraniana e hemorragia devidas a traumatismo d,–,–,–,–,–,–,–,–,–,–,–,–
P11,Outros traumatismos de parto do sistema nervoso central,–,–,–,–,–,–,–,–,–,–,–,–
P12,Lesão do couro cabeludo devida a traumatismo de parto,–,–,–,–,–,–,–,–,–,–,–,–
P13,Lesões do esqueleto devidas a traumatismo de parto,–,–,–,–,–,–,–,–,–,–,–,–
P14,Lesões ao nascer do sistema nervoso periférico,–,–,–,–,–,–,–,–,–,–,–,–
P15,Outros traumatismos de parto,–,–,–,–,–,–,–,–,–,–,–,–
P20-P29,Transtornos respiratórios e cardiovasculares específicos d,–,–,–,–,–,–,–,–,–,–,–,–
P20,Hipóxia intra-uterina,–,–,–,–,–,–,–,–,–,–,–,–
P21,Asfixia ao nascer,–,–,–,–,–,–,–,–,–,–,–,–
P22,Desconforto (angústia) respiratório(a) do recém-nascido,–,–,–,–,–,–,–,–,–,–,–,–
P23,Pneumonia congênita,–,–,–,–,–,–,–,–,–,–,–,–
P24,Síndrome de aspiração neonatal,–,–,–,–,–,–,–,–,–,–,–,–
P25,Enfisema intersticial e afecções correlatas originadas no períod,–,–,–,–,–,–,–,–,–,–,–,–
P26,Hemorragia pulmonar originada no período perinatal,–,–,–,–,–,–,–,–,–,–,–,–
P27,Doença respiratória crônica originada no período perinatal,–,–,–,–,–,–,–,–,–,–,–,–
P28,Outras afecções respiratórias originadas no período perinatal,–,–,–,–,–,–,–,–,–,–,–,–
P29,Transtornos cardiovasculares originados no período perinatal,–,–,–,–,–,–,–,–,–,–,–,–
P35-P39,Infecções específicas do período perinatal,–,–,–,–,–,–,–,–,–,–,–,–
P35,Doenças virais congênitas,–,–,–,–,–,–,–,–,–,–,–,–
P36,Septicemia bacteriana do recém-nascido,–,–,–,–,–,–,–,–,–,–,–,–
P37,Outras doenças infecciosas e parasitárias congênitas,–,–,–,–,–,–,–,–,–,–,–,–
P38,Onfalite do recém-nascido com ou sem hemorragia leve,–,–,–,–,–,–,–,–,–,–,–,–
P39,Outras infecções específicas do período perinatal,–,–,–,–,–,–,–,–,–,–,–,–
P50-P61,Transtornos hemorrágicos e hematológicos do feto e do re,–,–,–,–,–,–,–,–,–,–,–,–
P50,Perda sangüínea fetal,–,–,–,–,–,–,–,–,–,–,–,–
P51,Hemorragia umbilical do recém-nascido,–,–,–,–,–,–,–,–,–,–,–,–
P52,Hemorragia intracraniana não-traumática do feto e do recém-n,–,–,–,–,–,–,–,–,–,–,–,–
P53,Doença hemorrágica do feto e do recém-nascido,–,–,–,–,–,–,–,–,–,–,–,–
P54,Outras hemorragias neonatais,–,–,–,–,–,–,–,–,–,–,–,–
P55,Doença hemolítica do feto e do recém-nascido,–,–,–,–,–,–,–,–,–,–,–,–
P56,Hidropsia fetal devida a doença hemolítica,–,–,–,–,–,–,–,–,–,–,–,–
P57,Kernicterus,–,–,–,–,–,–,–,–,–,–,–,–
P58,Icterícia neonatal devida a outras hemólises excessivas,–,–,–,–,–,–,–,–,–,–,–,–
P59,Icterícia neonatal devida a outras causas e às não especificad,–,–,–,–,–,–,–,–,–,–,–,–
P60,Coagulação intravascular disseminada do feto e do recém-nas,–,–,–,–,–,–,–,–,–,–,–,–
P61,Outros transtornos hematológicos perinatais,–,–,–,–,–,–,–,–,–,–,–,–
P70-P74,Transtornos endócrinos e metabólicos transitórios especí,–,–,–,–,–,–,–,–,–,–,–,–
P70,Transtornos transitórios do metabolismo dos carboidratos espe,–,–,–,–,–,–,–,–,–,–,–,–
P71,Transtornos transitórios do metabolismo do cálcio e do magné,–,–,–,–,–,–,–,–,–,–,–,–
P72,Outros transtornos endócrinos transitórios do período neonatal,–,–,–,–,–,–,–,–,–,–,–,–
P74,Outros distúrbios eletrolíticos e metabólicos transitórios do per,–,–,–,–,–,–,–,–,–,–,–,–
P75-P78,Transtornos do aparelho digestivo do feto ou do recém-na,–,–,–,–,–,–,–,–,–,–,–,–
P75*,Íleo meconial (E84.1†),–,–,–,–,–,–,–,–,–,–,–,–
P76,Outras obstruções intestinais do recém-nascido,–,–,–,–,–,–,–,–,–,–,–,–
P77,Enterocolite necrotizante do feto e do recém-nascido,–,–,–,–,–,–,–,–,–,–,–,–
P78,Outros transtornos do aparelho digestivo do período perinatal,–,–,–,–,–,–,–,–,–,–,–,–
P80-P83,Afecções comprometendo o tegumento e a regulação térm,–,–,–,–,–,–,–,–,–,–,–,–
P80,Hipotermia do recém-nascido,–,–,–,–,–,–,–,–,–,–,–,–
P81 Outros distúrbios da regulação térmica do recém-nascido,,–,–,–,–,–,–,–,–,–,–,–,–
P83 Outras afecções comprometendo o tegumento específicas do f,,–,–,–,–,–,–,–,–,–,–,–,–
P90-P96 Outros transtornos originados no período perinatal,,–,–,–,–,–,–,–,–,–,–,–,–
P90 Convulsões do recém-nascido,,–,–,–,–,–,–,–,–,–,–,–,–
P91 Outros distúrbios da função cerebral do recém-nascido,,–,–,–,–,–,–,–,–,–,–,–,–
P92 Problemas de alimentação do recém-nascido,,–,–,–,–,–,–,–,–,–,–,–,–
P93 Reações e intoxicações devidas a drogas administradas ao fet,,–,–,–,–,–,–,–,–,–,–,–,–
P94 Transtornos do tônus muscular do recém-nascido,,–,–,–,–,–,–,–,–,–,–,–,–
P95 Morte fetal de causa não especificada,,–,–,–,–,–,–,–,–,–,–,–,–
P96 Outras afecções originadas no período perinatal,,–,–,–,–,–,–,–,–,–,–,–,–
"Capítulo XVII: Malformações congênitas, deformidades e anomalias",,–,–,–,–,–,–,–,–,1,1,1,–
Q00-Q07 Malformações congênitas do sistema nervoso,,–,–,–,–,–,–,–,–,–,–,–,–
Q00 Anencefalia e malformações similares,,–,–,–,–,–,–,–,–,–,–,–,–
Q01 Encefalocele,,–,–,–,–,–,–,–,–,–,–,–,–
Q02 Microcefalia,,–,–,–,–,–,–,–,–,–,–,–,–
Q03 Hidrocefalia congênita,,–,–,–,–,–,–,–,–,–,–,–,–
Q04 Outras malformações congênitas do cérebro,,–,–,–,–,–,–,–,–,–,–,–,–
Q05 Espinha bífida,,–,–,–,–,–,–,–,–,–,–,–,–
Q06 Outras malformações congênitas da medula espinhal,,–,–,–,–,–,–,–,–,–,–,–,–
Q07 Outras malformações congênitas do sistema nervoso,,–,–,–,–,–,–,–,–,–,–,–,–
"Q10-Q18 Malformações congênitas do olho, do ouvido, da face e do",,–,–,–,–,–,–,–,–,–,–,–,–
"Q10 Malformações congênitas das pálpebras, do aparelho lacrimal",,–,–,–,–,–,–,–,–,–,–,–,–
"Q11 Anoftalmia, microftalmia e macroftalmia",,–,–,–,–,–,–,–,–,–,–,–,–
Q12 Malformações congênitas do cristalino,,–,–,–,–,–,–,–,–,–,–,–,–
Q13 Malformações congênitas da câmara anterior do olho,,–,–,–,–,–,–,–,–,–,–,–,–
Q14 Malformações congênitas da câmara posterior do olho,,–,–,–,–,–,–,–,–,–,–,–,–
Q15 Outras malformações congênitas do olho,,–,–,–,–,–,–,–,–,–,–,–,–
Q16 Malformações congênitas do ouvido causando comprometimen,,–,–,–,–,–,–,–,–,–,–,–,–
Q17 Outras malformações congênitas da orelha,,–,–,–,–,–,–,–,–,–,–,–,–
Q18 Outras malformações congênitas da face e do pescoço,,–,–,–,–,–,–,–,–,–,–,–,–
Q20-Q28 Malformações congênitas do aparelho circulatório,,–,–,–,–,–,–,–,–,–,1,–,–
Q20 Malformações congênitas das câmaras e das comunicações ca,,–,–,–,–,–,–,–,–,–,–,–,–
Q21 Malformações congênitas dos septos cardíacos,,–,–,–,–,–,–,–,–,–,–,–,–
Q22 Malformações congênitas das valvas pulmonar e tricúspide,,–,–,–,–,–,–,–,–,–,–,–,–
Q23 Malformações congênitas das valvas aórtica e mitral,,–,–,–,–,–,–,–,–,–,–,–,–
Q24 Outras malformações congênitas do coração,,–,–,–,–,–,–,–,–,–,–,–,–
Q25 Malformações congênitas das grandes artérias,,–,–,–,–,–,–,–,–,–,–,–,–
Q26 Malformações congênitas das grandes veias,,–,–,–,–,–,–,–,–,–,1,–,–
Q27 Outras malformações congênitas do sistema vascular periféric,,–,–,–,–,–,–,–,–,–,–,–,–
Q28 Outras malformações congênitas do aparelho circulatório,,–,–,–,–,–,–,–,–,–,–,–,–
Q30-Q34 Malformações congênitas do aparelho respiratório,,–,–,–,–,–,–,–,–,–,–,1,–
Q30 Malformação congênita do nariz,,–,–,–,–,–,–,–,–,–,–,–,–
Q31 Malformações congênitas da laringe,,–,–,–,–,–,–,–,–,–,–,1,–
Q32 Malformações congênitas da traquéia e dos brônquios,,–,–,–,–,–,–,–,–,–,–,–,–
Q33 Malformações congênitas do pulmão,,–,–,–,–,–,–,–,–,–,–,–,–
Q34 Outras malformações congênitas do aparelho respiratório,,–,–,–,–,–,–,–,–,–,–,–,–
Q35-Q37 Fenda labial e fenda palatina,,–,–,–,–,–,–,–,–,–,–,–,–
Q35 Fenda palatina,,–,–,–,–,–,–,–,–,–,–,–,–
Q36 Fenda labial,,–,–,–,–,–,–,–,–,–,–,–,–
Q37 Fenda labial com fenda palatina,,–,–,–,–,–,–,–,–,–,–,–,–
Q38-Q45 Outras malformações congênitas do aparelho digestivo,,–,–,–,–,–,–,–,–,–,–,–,–
"Q38 Outras malformações congênitas da língua, da boca e da farin",,–,–,–,–,–,–,–,–,–,–,–,–
Q39 Malformações congênitas do esôfago,,–,–,–,–,–,–,–,–,–,–,–,–
Q40 Outras malformações congênitas do trato digestivo superior,,–,–,–,–,–,–,–,–,–,–,–,–
"Q41 Ausência, atresia e estenose congênita do intestino delgado",,–,–,–,–,–,–,–,–,–,–,–,–
"Q42 Ausência, atresia e estenose congênita do cólon",,–,–,–,–,–,–,–,–,–,–,–,–
Q43 Outras malformações congênitas do intestino,,–,–,–,–,–,–,–,–,–,–,–,–
"Q44 Malformações congênitas da vesícula biliar, das vias biliares e",,–,–,–,–,–,–,–,–,–,–,–,–
Q45 Outras malformações congênitas do aparelho digestivo,,–,–,–,–,–,–,–,–,–,–,–,–
Q50-Q56 Malformações congênitas dos órgãos genitais,,–,–,–,–,–,–,–,–,–,–,–,–
"Q50 Malformações congênitas dos ovários, das trompas de Falópio",,–,–,–,–,–,–,–,–,–,–,–,–
Q51 Malformações congênitas do útero e do colo do útero,,–,–,–,–,–,–,–,–,–,–,–,–
Q52 Outras malformações congênitas dos órgãos genitais feminino,,–,–,–,–,–,–,–,–,–,–,–,–
Q53 Testículo não-descido,,–,–,–,–,–,–,–,–,–,–,–,–
Q54 Hipospádias,,–,–,–,–,–,–,–,–,–,–,–,–
Q55 Outras malformações congênitas dos órgãos genitais masculin,,–,–,–,–,–,–,–,–,–,–,–,–
Q56 Sexo indeterminado e pseudo-hermafroditismo,,–,–,–,–,–,–,–,–,–,–,–,–
Q60-Q64 Malformações congênitas do aparelho urinário,,–,–,–,–,–,–,–,–,–,–,–,–
Q60 Agenesia renal e outros defeitos de redução do rim,,–,–,–,–,–,–,–,–,–,–,–,–
Q61 Doenças císticas do rim,,–,–,–,–,–,–,–,–,–,–,–,–
Q62 Anomalias congênitas obstrutivas da pelve renal e malformaçõ,,–,–,–,–,–,–,–,–,–,–,–,–
Q63 Outras malformações congênitas do rim,,–,–,–,–,–,–,–,–,–,–,–,–
Q64 Outras malformações congênitas do aparelho urinário,,–,–,–,–,–,–,–,–,–,–,–,–
Q65-Q79 Malformações e deformidades congênitas do sistema oste,,–,–,–,–,–,–,–,–,–,–,–,–
Q65 Malformações congênitas do quadril,,–,–,–,–,–,–,–,–,–,–,–,–
Q66 Deformidades congênitas do pé,,–,–,–,–,–,–,–,–,–,–,–,–
"Q67 Deformidades osteomusculares congênitas da cabeça, da face",,–,–,–,–,–,–,–,–,–,–,–,–
Q68 Outras deformidades osteomusculares congênitas,,–,–,–,–,–,–,–,–,–,–,–,–
Q69 Polidactilia,,–,–,–,–,–,–,–,–,–,–,–,–
Q70 Sindactilia,,–,–,–,–,–,–,–,–,–,–,–,–
"Q71 Defeitos, por redução, do membro superior",,–,–,–,–,–,–,–,–,–,–,–,–
"Q72 Defeitos, por redução, do membro inferior",,–,–,–,–,–,–,–,–,–,–,–,–
Q73 Defeitos por redução de membro não especificado,,–,–,–,–,–,–,–,–,–,–,–,–
Q74 Outras malformações congênitas dos membros,,–,–,–,–,–,–,–,–,–,–,–,–
Q75 Outras malformações congênitas dos ossos do crânio e da fac,,–,–,–,–,–,–,–,–,–,–,–,–
Q76 Malformações congênitas da coluna vertebral e dos ossos do t,,–,–,–,–,–,–,–,–,–,–,–,–
Q77 Osteocondrodisplasia com anomalias de crescimento dos osso,,–,–,–,–,–,–,–,–,–,–,–,–
Q78 Outras osteocondrodisplasias,,–,–,–,–,–,–,–,–,–,–,–,–
Q79 Malformações congênitas do sistema osteomuscular não class,,–,–,–,–,–,–,–,–,–,–,–,–
Q80-Q89 Outras malformações congênitas,,–,–,–,–,–,–,–,–,1,–,–,–
Q80 Ictiose congênita,,–,–,–,–,–,–,–,–,–,–,–,–
Q81 Epidermólise bolhosa,,–,–,–,–,–,–,–,–,1,–,–,–
Q82 Outras malformações congênitas da pele,,–,–,–,–,–,–,–,–,–,–,–,–
Q83 Malformações congênitas da mama,,–,–,–,–,–,–,–,–,–,–,–,–
Q84 Outras malformações congênitas do tegumento,,–,–,–,–,–,–,–,–,–,–,–,–
Q85 Facomatoses não classificadas em outra parte,,–,–,–,–,–,–,–,–,–,–,–,–
Q86 Síndromes com malformações congênitas devidas a causas ex,,–,–,–,–,–,–,–,–,–,–,–,–
Q87 Outras síndromes com malformações congênitas que acomete,,–,–,–,–,–,–,–,–,–,–,–,–
Q89 Outras malformações congênitas não classificadas em outra p,,–,–,–,–,–,–,–,–,–,–,–,–
Q90-Q99 Anomalias cromossômicas não classificadas em outra par,,–,–,–,–,–,–,–,–,–,–,–,–
Q90 Síndrome de Down,,–,–,–,–,–,–,–,–,–,–,–,–
Q91 Síndrome de Edwards e síndrome de Patau,,–,–,–,–,–,–,–,–,–,–,–,–
"Q92 Outras trissomias e trissomias parciais dos autossomos, não c",,–,–,–,–,–,–,–,–,–,–,–,–
"Q93 Monossomias e deleções dos autossomos, não classificadas e",,–,–,–,–,–,–,–,–,–,–,–,–
"Q95 Rearranjos equilibrados e marcadores estruturais, não classific",,–,–,–,–,–,–,–,–,–,–,–,–
Q96 Síndrome de Turner,,–,–,–,–,–,–,–,–,–,–,–,–
"Q97 Outras anomalias dos cromossomos sexuais, fenótipo feminino",,–,–,–,–,–,–,–,–,–,–,–,–
"Q98 Outras anomalias dos cromossomos sexuais, fenótipo masculi",,–,–,–,–,–,–,–,–,–,–,–,–
"Q99 Outras anomalias dos cromossomos, não classificadas em out",,–,–,–,–,–,–,–,–,–,–,–,–
"Capítulo XVIII: Sintomas, sinais e achados anormais de exames clín",,–,–,–,–,–,–,–,–,–,–,–,–
R00-R09 Sintomas e sinais relativos ao aparelho circulatório e resp,,–,–,–,–,–,–,–,–,–,–,–,–
R00 Anormalidades do batimento cardíaco,,–,–,–,–,–,–,–,–,–,–,–,–
R01,Sopros e outros ruídos cardíacos,–,–,–,–,–,–,–,–,–,–,–,–
R02,Gangrena não classificada em outra parte,–,–,–,–,–,–,–,–,–,–,–,–
R03,Valor anormal da pressão arterial sem diagnóstico,–,–,–,–,–,–,–,–,–,–,–,–
R04,Hemorragia das vias respiratórias,–,–,–,–,–,–,–,–,–,–,–,–
R05,Tosse,–,–,–,–,–,–,–,–,–,–,–,–
R06,Anormalidades da respiração,–,–,–,–,–,–,–,–,–,–,–,–
R07,Dor de garganta e no peito,–,–,–,–,–,–,–,–,–,–,–,–
R09,Outros sintomas e sinais relativos aos aparelhos circulatório e,–,–,–,–,–,–,–,–,–,–,–,–
R10-R19,Sintomas e sinais relativos ao aparelho digestivo e ao abd,–,–,–,–,–,–,–,–,–,–,–,–
R10,Dor abdominal e pélvica,–,–,–,–,–,–,–,–,–,–,–,–
R11,Náusea e vômitos,–,–,–,–,–,–,–,–,–,–,–,–
R12,Pirose,–,–,–,–,–,–,–,–,–,–,–,–
R13,Disfagia,–,–,–,–,–,–,–,–,–,–,–,–
R14,Flatulência e afecções correlatas,–,–,–,–,–,–,–,–,–,–,–,–
R15,Incontinência fecal,–,–,–,–,–,–,–,–,–,–,–,–
R16,Hepatomegalia e esplenomegalia não classificadas em outra p,–,–,–,–,–,–,–,–,–,–,–,–
R17,Icterícia não especificada,–,–,–,–,–,–,–,–,–,–,–,–
R18,Ascite,–,–,–,–,–,–,–,–,–,–,–,–
R19,Outros sintomas e sinais relativos ao aparelho digestivo e ao a,–,–,–,–,–,–,–,–,–,–,–,–
R20-R23,Sintomas e sinais relativos a pele e ao tecido subcutâneo,–,–,–,–,–,–,–,–,–,–,–,–
R20,Distúrbios da sensibilidade cutânea,–,–,–,–,–,–,–,–,–,–,–,–
R21,Eritema e outras erupções cutâneas não especificadas,–,–,–,–,–,–,–,–,–,–,–,–
R22,"Tumefação, massa ou tumoração localizadas da pele e do teci",–,–,–,–,–,–,–,–,–,–,–,–
R23,Outras alterações cutâneas,–,–,–,–,–,–,–,–,–,–,–,–
R25-R29,Sintomas e sinais relativos aos sistemas nervoso e osteom,–,–,–,–,–,–,–,–,–,–,–,–
R25,Movimentos involuntários anormais,–,–,–,–,–,–,–,–,–,–,–,–
R26,Anormalidades da marcha e da mobilidade,–,–,–,–,–,–,–,–,–,–,–,–
R27,Outros distúrbios da coordenação,–,–,–,–,–,–,–,–,–,–,–,–
R29,Outros sintomas e sinais relativos aos sistemas nervoso e oste,–,–,–,–,–,–,–,–,–,–,–,–
R30-R39,Sintomas e sinais relativos ao aparelho urinário,–,–,–,–,–,–,–,–,–,–,–,–
R30,Dor associada à micção,–,–,–,–,–,–,–,–,–,–,–,–
R31,Hematúria não especificada,–,–,–,–,–,–,–,–,–,–,–,–
R32,Incontinência urinária não especificada,–,–,–,–,–,–,–,–,–,–,–,–
R33,Retenção urinária,–,–,–,–,–,–,–,–,–,–,–,–
R34,Anúria e oligúria,–,–,–,–,–,–,–,–,–,–,–,–
R35,Poliúria,–,–,–,–,–,–,–,–,–,–,–,–
